,country,year,iso_code,population,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,coal_co2,consumption_co2,gas_co2,oil_co2,oil_co2_per_capita,temperature_change_from_co2,total_ghg,trade_co2
299,Africa,1877,0,126088007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
300,Africa,1878,0,126712451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
301,Africa,1879,0,127352247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
302,Africa,1880,0,128189317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
303,Africa,1881,0,128683453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
304,Africa,1882,0,129364909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
305,Africa,1883,0,130067281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
306,Africa,1884,0,130775459.0,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.002,0.0,0.0
307,Africa,1885,0,131489484.0,0.037,66.667,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.002,0.0,0.0
308,Africa,1886,0,132209404.0,0.048,30.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.002,0.0,0.0
309,Africa,1887,0,132935290.0,0.048,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.003,0.0,0.0
310,Africa,1888,0,133667182.0,0.081,69.231,0.001,0.0,0.081,0.0,0.0,0.0,0.0,0.003,0.0,0.0
311,Africa,1889,0,134316240.0,0.132,63.636,0.001,0.0,0.132,0.0,0.0,0.0,0.0,0.003,0.0,0.0
312,Africa,1890,0,135050718.0,0.297,125.0,0.002,0.0,0.297,0.0,0.0,0.0,0.0,0.003,0.0,0.0
313,Africa,1891,0,135370390.0,0.297,0.0,0.002,0.0,0.297,0.0,0.0,0.0,0.0,0.003,0.0,0.0
314,Africa,1892,0,135768025.0,0.48,61.728,0.004,0.0,0.48,0.0,0.0,0.0,0.0,0.003,0.0,0.0
315,Africa,1893,0,136087369.0,1.799,274.809,0.013,0.0,1.799,0.0,0.0,0.0,0.0,0.003,0.0,0.0
316,Africa,1894,0,136413556.0,2.433,35.234,0.018,0.0,2.433,0.0,0.0,0.0,0.0,0.003,0.0,0.0
317,Africa,1895,0,136746634.0,3.338,37.199,0.024,0.0,3.338,0.0,0.0,0.0,0.0,0.003,0.0,0.0
318,Africa,1896,0,137086659.0,4.258,27.552,0.031,0.0,4.258,0.0,0.0,0.0,0.0,0.003,0.0,0.0
319,Africa,1897,0,137433669.0,4.778,12.22,0.035,0.0,4.778,0.0,0.0,0.0,0.0,0.003,0.0,0.0
320,Africa,1898,0,137787711.0,6.049,26.61,0.044,0.0,6.049,0.0,0.0,0.0,0.0,0.003,0.0,0.0
321,Africa,1899,0,138168883.0,5.518,-8.783,0.04,0.0,5.518,0.0,0.0,0.0,0.0,0.003,0.0,0.0
322,Africa,1900,0,138752199.0,2.33,-57.769,0.017,0.0,2.33,0.0,0.0,0.0,0.0,0.003,0.0,0.0
323,Africa,1901,0,139021447.0,3.909,67.767,0.028,0.0,3.909,0.0,0.0,0.0,0.0,0.003,0.0,0.0
324,Africa,1902,0,139489077.0,5.826,49.016,0.042,0.0,5.826,0.0,0.0,0.0,0.0,0.004,0.0,0.0
325,Africa,1903,0,139992790.0,7.896,35.535,0.056,0.0,7.896,0.0,0.0,0.0,0.0,0.004,0.0,0.0
326,Africa,1904,0,140510536.0,8.911,12.854,0.063,0.0,8.911,0.0,0.0,0.0,0.0,0.004,0.0,0.0
327,Africa,1905,0,141042447.0,10.263,15.173,0.073,0.0,10.263,0.0,0.0,0.0,0.0,0.004,0.0,0.0
328,Africa,1906,0,141588654.0,11.717,14.174,0.083,0.0,11.717,0.0,0.0,0.0,0.0,0.004,0.0,0.0
329,Africa,1907,0,142149308.0,12.93,10.35,0.091,0.0,12.93,0.0,0.0,0.0,0.0,0.004,0.0,0.0
330,Africa,1908,0,142724535.0,13.403,3.655,0.094,0.0,13.403,0.0,0.0,0.0,0.0,0.004,0.0,0.0
331,Africa,1909,0,143305202.0,15.385,14.789,0.107,0.0,15.385,0.0,0.0,0.0,0.0,0.004,0.0,0.0
332,Africa,1910,0,144064903.0,17.411,13.17,0.121,0.0,17.411,0.0,0.0,0.0,0.0,0.004,0.0,0.0
333,Africa,1911,0,144480832.0,16.865,-3.136,0.117,0.0,16.854,0.0,0.0,0.011,0.0,0.005,0.0,0.0
334,Africa,1912,0,145067004.0,17.954,6.452,0.124,0.0,17.869,0.0,0.0,0.084,0.001,0.005,0.0,0.0
335,Africa,1913,0,145657208.0,19.606,9.204,0.135,0.473,19.566,0.0,0.0,0.04,0.0,0.005,0.0,0.0
336,Africa,1914,0,146256012.0,19.551,-0.28,0.134,0.0,19.243,0.0,0.0,0.308,0.002,0.005,0.0,0.0
337,Africa,1915,0,146863516.0,19.606,0.281,0.133,0.0,19.514,0.0,0.0,0.092,0.001,0.005,0.0,0.0
338,Africa,1916,0,147479796.0,23.255,18.613,0.158,0.0,23.072,0.0,0.0,0.183,0.001,0.005,0.0,0.0
339,Africa,1917,0,148104957.0,25.344,8.981,0.171,0.0,24.919,0.0,0.0,0.425,0.003,0.005,0.0,0.0
340,Africa,1918,0,148713464.0,24.725,-2.443,0.166,0.0,23.856,0.0,0.0,0.868,0.006,0.006,0.0,0.0
341,Africa,1919,0,149572638.0,25.443,2.905,0.17,0.0,24.751,0.0,0.0,0.692,0.005,0.006,0.0,0.0
342,Africa,1920,0,150861520.0,28.052,10.253,0.186,0.0,27.594,0.0,0.0,0.458,0.003,0.006,0.0,0.0
343,Africa,1921,0,152062212.0,27.986,-0.235,0.184,0.0,27.425,0.0,0.0,0.561,0.004,0.006,0.0,0.0
344,Africa,1922,0,153693154.0,23.97,-14.349,0.156,0.0,23.435,0.0,0.0,0.534,0.003,0.006,0.0,0.0
345,Africa,1923,0,155594335.0,29.045,21.171,0.187,0.0,28.572,0.0,0.0,0.473,0.003,0.007,0.0,0.0
